,city,population
0, Абакан,184168
1, Альметьевск,155988
2, Ангарск,225772
3, Арзамас,104140
4, Армавир,190709
5, Артем,106692
6, Архангельск,349742
7, Астрахань,533925
8, Ачинск ,105259
9, Балаково,189829
10, Балашиха,468221
11, Барнаул,632372
12, Батайск,126769
13, Белгород,391554
14, Бердск,103578
15, Березники,143072
16, Бийск,201914
17, Благовещенск,225091
18, Братск,229286
19, Брянск,405723
20, Великий Новгород,222868
21, Владивосток,604901
22, Владикавказ,306258
23, Владимир,357024
24, Волгоград,1013533
25, Волгодонск,171729
26, Волжский,325224
27, Вологда,312420
28, Воронеж,1047549
29, Грозный,297137
30, Дербент,123720
31, Дзержинск,230639
32, Димитровград,115253
33, Долгопрудный,108861
34, Домодедово,127850
35, Евпатория,106777
36, Екатеринбург,1468833
37, Елец,104349
38, Ессентуки,108679
39, Железногорск,100740
40, Жуковский,108187
41, Златоуст,166885
42, Иваново,406113
43, Ижевск ,648213
44, Иркутск,623869
45, Йошкар-Ола,268272
46, Казань,1243500
47, Калининград,475056
48, Калуга,340851
49, Каменск - Уральский,168997
50, Камышин,111100
51, Каспийск,116340
52, Кемерово,558973
53, Керчь,150573
54, Киров,507155
55, Кисловодск,129593
56, Ковров,137594
57, Коломна,142691
58, Комсомольск-на-Амуре,248254
59, Копейск,148136
60, Королёв,222952
61, Кострома,277280
62, Красногорск,161525
63, Краснодар,899541
64, Красноярск,1090811
65, Курган,318045
66, Курск,448733
67, Кызыл,116983
68, Липецк,509735
69, Люберцы,202918
70, Магнитогорск,416521
71, Майкоп,141970
72, Махачкала,596356
73, Миасс,151673
74, Москва,12506468
75, Мурманск,295374
76, Муром,109072
77, Мытищи,211606
78, Набережные Челны,532472
79, Назрань,117936
80, Нальчик,239300
81, Находка,149316
82, Невинномысск,117446
83, Нефтекамск,127821
84, Нефтеюганск,126998
85, Нижневартовск,275429
86, Нижнекамск,237942
87, Нижний Новгород,1259013
88, Нижний Тагил,353950
89, Новокузнецк,553638
90, Новокуйбышевск,102075
91, Новомосковск,124787
92, Новороссийск,273278
93, Новосибирск,1612833
94, Новочебоксарск,126626
95, Новочеркасск,168022
96, Новошахтинск,108345
97, Новый Уренгой,114837
98, Ногинск,102592
99, Норильск,179554
100, Ноябрьск,106930
101, Обнинск,115029
102, Одинцово,140537
103, Октябрьский,113827
104, Омск,1172070
105, Оренбург,564773
106, Орехово-Зуево,118822
107, Орск,229255
108, Орёл,315308
109, Пенза,523553
110, Первоуральск,123655
111, Пермь,1051583
112, Петрозаводск,279190
113, Петропавловск-Камчатский,181216
114, Подольск,302831
115, Прокопьевск,194084
116, Псков,210501
117, Пушкино,105479
118, Пятигорск,145885
119, Раменское,116077
120, Реутов,103779
121, Ростов-на-Дону,1130305
122, Рубцовск,144128
123, Рыбинск,188678
124, Рязань,538962
125, Салават,152354
126, Самара,1163399
127, Санкт-Петербург ,5351935
128, Саранск,318841
129, Саратов,844858
130, Севастополь,436670
131, Северодвинск,183255
132, Северск,107494
133, Сергиев Посад,103444
134, Серпухов,125817
135, Симферополь ,341799
136, Смоленск,330025
137, Сочи,424281
138, Ставрополь,433931
139, Старый Оскол,224153
140, Стерлитамак,279626
141, Сургут,366189
142, Сызрань,171336
143, Сыктывкар,245083
144, Таганрог,249848
145, Тамбов,293661
146, Тверь,420065
147, Тольятти,707408
148, Томск,574002
149, Тула,482873
150, Тюмень,768358
151, Улан-Удэ,434869
152, Ульяновск,626540
153, Уссурийск,172017
154, Уфа,1120547
155, Хабаровск,618150
156, Хасавюрт,141259
157, Химки,250688
158, Чебоксары,492331
159, Челябинск,1202371
160, Череповец,317970
161, Черкесск,122395
162, Чита,349005
163, Шахты,233814
164, Щёлково,125634
165, Электросталь,158226
166, Элиста,103132
167, Энгельс,226176
168, Южно-Сахалинск,198973
169, Якутск,311760
170, Ярославль,608722
